10:20:01.598 | 243  | [main] | INFO  | b.c.a.ApiExemploApplication - Iniciando a api de cadastro!
10:20:02.156 | 801  | [main] | INFO  | b.c.a.ApiExemploApplication - Starting ApiExemploApplication on DESKTOP-VIHBB8T with PID 5820 (C:\Users\salan\Documents\Projects in Java\ApiExemplo\target\classes started by salan in C:\Users\salan\Documents\Projects in Java\ApiExemplo)
10:20:02.158 | 803  | [main] | INFO  | b.c.a.ApiExemploApplication - No active profile set, falling back to default profiles: default
10:20:06.521 | 5166 | [main] | INFO  | b.c.a.ApiExemploApplication - Started ApiExemploApplication in 4.804 seconds (JVM running for 5.426)
10:20:06.523 | 5168 | [main] | INFO  | b.c.a.ApiExemploApplication - API de cadastro iniciada e pronta para receber requisições!
10:21:35.616 | 267  | [main] | INFO  | b.c.a.ApiExemploApplication - Iniciando a api de cadastro!
10:21:35.616 | 267  | [main] | INFO  | b.c.a.ApiExemploApplication - Iniciando a api de cadastro!
10:21:36.129 | 780  | [main] | INFO  | b.c.a.ApiExemploApplication - Starting ApiExemploApplication on DESKTOP-VIHBB8T with PID 98360 (C:\Users\salan\Documents\Projects in Java\ApiExemplo\target\classes started by salan in C:\Users\salan\Documents\Projects in Java\ApiExemplo)
10:21:36.129 | 780  | [main] | INFO  | b.c.a.ApiExemploApplication - Starting ApiExemploApplication on DESKTOP-VIHBB8T with PID 98360 (C:\Users\salan\Documents\Projects in Java\ApiExemplo\target\classes started by salan in C:\Users\salan\Documents\Projects in Java\ApiExemplo)
10:21:36.130 | 781  | [main] | INFO  | b.c.a.ApiExemploApplication - No active profile set, falling back to default profiles: default
10:21:36.130 | 781  | [main] | INFO  | b.c.a.ApiExemploApplication - No active profile set, falling back to default profiles: default
10:21:40.016 | 4667 | [main] | WARN  | o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
10:21:40.722 | 5373 | [main] | INFO  | b.c.a.ApiExemploApplication - Started ApiExemploApplication in 5.0 seconds (JVM running for 5.651)
10:21:40.722 | 5373 | [main] | INFO  | b.c.a.ApiExemploApplication - Started ApiExemploApplication in 5.0 seconds (JVM running for 5.651)
10:21:40.724 | 5375 | [main] | INFO  | b.c.a.ApiExemploApplication - API de cadastro iniciada e pronta para receber requisições!
10:21:40.724 | 5375 | [main] | INFO  | b.c.a.ApiExemploApplication - API de cadastro iniciada e pronta para receber requisições!
10:24:38.532 | 267  | [main] | INFO  | b.c.a.ApiExemploApplication - Iniciando a api de cadastro!
10:24:39.074 | 809  | [main] | INFO  | b.c.a.ApiExemploApplication - Starting ApiExemploApplication on DESKTOP-VIHBB8T with PID 95284 (C:\Users\salan\Documents\Projects in Java\ApiExemplo\target\classes started by salan in C:\Users\salan\Documents\Projects in Java\ApiExemplo)
10:24:39.075 | 810  | [main] | INFO  | b.c.a.ApiExemploApplication - No active profile set, falling back to default profiles: default
10:24:43.718 | 5453 | [main] | INFO  | b.c.a.ApiExemploApplication - Started ApiExemploApplication in 5.083 seconds (JVM running for 5.732)
10:24:43.721 | 5456 | [main] | INFO  | b.c.a.ApiExemploApplication - API de cadastro iniciada e pronta para receber requisições!
10:27:55.372 | 239  | [main] | INFO  | b.c.a.ApiExemploApplication - Iniciando a api de cadastro!
10:27:55.920 | 787  | [main] | INFO  | b.c.a.ApiExemploApplication - Starting ApiExemploApplication on DESKTOP-VIHBB8T with PID 98724 (C:\Users\salan\Documents\Projects in Java\ApiExemplo\target\classes started by salan in C:\Users\salan\Documents\Projects in Java\ApiExemplo)
10:27:55.921 | 788  | [main] | INFO  | b.c.a.ApiExemploApplication - No active profile set, falling back to default profiles: default
10:28:00.732 | 5599 | [main] | INFO  | b.c.a.ApiExemploApplication - Started ApiExemploApplication in 5.252 seconds (JVM running for 5.897)
10:28:00.735 | 5602 | [main] | INFO  | b.c.a.ApiExemploApplication - API de cadastro iniciada e pronta para receber requisições!
10:28:03.853 | 8720 | [http-nio-8080-exec-1] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
10:29:35.372 | 251  | [main] | INFO  | b.c.a.ApiExemploApplication - Iniciando a api de cadastro!
10:29:35.943 | 822  | [main] | INFO  | b.c.a.ApiExemploApplication - Starting ApiExemploApplication on DESKTOP-VIHBB8T with PID 90396 (C:\Users\salan\Documents\Projects in Java\ApiExemplo\target\classes started by salan in C:\Users\salan\Documents\Projects in Java\ApiExemplo)
10:29:35.944 | 823  | [main] | INFO  | b.c.a.ApiExemploApplication - No active profile set, falling back to default profiles: default
10:29:40.370 | 5249 | [main] | INFO  | b.c.a.ApiExemploApplication - Started ApiExemploApplication in 4.902 seconds (JVM running for 5.538)
10:29:40.372 | 5251 | [main] | INFO  | b.c.a.ApiExemploApplication - API de cadastro iniciada e pronta para receber requisições!
10:29:55.405 | 20284 | [http-nio-8080-exec-1] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
10:30:06.819 | 248  | [main] | INFO  | b.c.a.ApiExemploApplication - Iniciando a api de cadastro!
10:30:07.343 | 772  | [main] | INFO  | b.c.a.ApiExemploApplication - Starting ApiExemploApplication on DESKTOP-VIHBB8T with PID 96112 (C:\Users\salan\Documents\Projects in Java\ApiExemplo\target\classes started by salan in C:\Users\salan\Documents\Projects in Java\ApiExemplo)
10:30:07.344 | 773  | [main] | INFO  | b.c.a.ApiExemploApplication - No active profile set, falling back to default profiles: default
10:30:11.932 | 5361 | [main] | INFO  | b.c.a.ApiExemploApplication - Started ApiExemploApplication in 5.021 seconds (JVM running for 5.65)
10:30:11.933 | 5362 | [main] | INFO  | b.c.a.ApiExemploApplication - API de cadastro iniciada e pronta para receber requisições!
